Array Design Name	OSU-CCC Human and Mouse MicroRNA Microarray Version 3.0
Provider	Ewy Mathe(mathee@mail.nih.gov)
Comment[ArrayExpressAccession]	A-GEOD-8835
Comment[SecondaryAccession]	GPL8835
Comment[Description]	Array Manufacturer: Microarray Shared Resource, Comprehensive Cancer Center, The Ohio State University (OSU-CCC), Distribution: non-commercial, Technology: spotted oligonucleotide<br>Reporter Name = Oligo identifier<br>Reporter Database Entry [mirbase] = Registry name in Sanger's miRBase (http://microrna.sanger.ac.uk) LINK_PRE:http://microrna.sanger.ac.uk/cgi-bin/sequences/mirna_entry.pl?acc=<br>Comment[Contains_Mature_MiRNA] = Whether or not the oligo sequence contains the mature miRNA sequence<br>Reporter Group [organism] = Organism
Comment[SubmittedName]	OSU-CCC Human and Mouse MicroRNA Microarray Version 3.0
Comment[Organism]	Homo sapiens Mus musculus
Printing Protocol	Manufactured using GE Healthcare's CodeLink (TM) 3-D Gel Matrix Technology. CodeLink(tm) Activated Slides are designed to covalently immoblize amine-modified DNA for microarrays. The slides are coated with a 3-D surface chemistry comprised of a long-chain, hydrophilic polymer containing amine-reactive groups. This polymer is covalently crosslinked to itself and to the surface of the slide. The crosslinked polymer, combined with end-point attachment, orients the immobilized DNA, and holds it away from the surface of the slide. The 1x printing buffer consists of 50 mM sodium phosphate at pH 8.5. Codelink slides are manufactured by SurModics and were formally sold as 3D-Link(tm) Activated Slides. Microarrays are printed with an Omnigrid robotic arrayer by Genomic Solutions that is fitted with a printhead and 16 SMP3 print tips from Telechem. The microRNA microarray probe set is based on 40mer oligonucleotides from Sigma-Genosys. Oligonucleotide probes are distributed into 384-well polypropylene plates (Genetix, 384 micro array) and dissolved in print buffer (150mM sodium phosphate, pH 8.5, 4% sodium sulfate, 0.0001% N-lauryl sarcosyl) to a normalized 25 micromolar concentration. The miRNA microarray spot densities are 200 microns (center-to-center). The microarrays are printed on Codelink Activated Slide (PN300011)) and treated by a method that is an adaptation of the manufacturer's instructions to allow higher throughput processing.
Surface Type
Substrate Type
Term Source Name	mirbase
Comment[AdditionalFile:txt]	A-GEOD-8835_comments.txt

[main]
Reporter Name	Reporter Database Entry [mirbase]	Reporter Group [organism]
Mcd387 left		
Mcd168 left		
Mcd86 left		
MPR183 left		
Mcd311 left		
MPR185 right		
MPR89_Mcd288 left		
Mcd707 right		
mmu-mir-154-prec	mmu-miR-154	Mus musculus
mmu-mir-183-precNo1	mmu-miR-183*	Mus musculus
mmu-mir-186-prec	mmu-miR-186	Mus musculus
mmu-mir-203-precNo1	mmu-miR-203*	Mus musculus
mmu-mir-206-prec	mmu-miR-206	Mus musculus
mmu-mir-213-prec	hsa-mir-181b	Homo sapiens
mmu-mir-224-precformer175No2	mmu-mir-224	Mus musculus
mmu-mir-199a-1No2	mmu-mir-199a-1	Mus musculus
mmu-mir-199bNo2	mmu-miR-199b	Mus musculus
mmu-mir-22No2	mmu-miR-22*	Mus musculus
mmu-mir-27aNo2	mmu-miR-27a*	Mus musculus
mmu-mir-103-2No2	mmu-mir-103-2	Mus musculus
mmu-mir-350No2	mmu-mir-350	Mus musculus
mmu-mir-19aNo2	mmu-miR-19a*	Mus musculus
mmu-mir-320No2	mmu-mir-320	Mus musculus
hsa-mir-498No2	hsa-mir-498	Homo sapiens
hsa-mir-500No2	hsa-mir-500	Homo sapiens
hsa-mir-502No2	hsa-miR-502-3p	Homo sapiens
hsa-mir-510No2	hsa-miR-502-3p	Homo sapiens
hsa-mir-511-2No2	hsa-mir-511-2	Homo sapiens
hsa-mir-513-1No2	hsa-mir-513a-2	Homo sapiens
hsa-mir-516-33p	hsa-miR-516b*	Homo sapiens
hsa-mir-517a	hsa-miR-517a	Homo sapiens
hsa-mir-517c	hsa-miR-517c	Homo sapiens
hsa-mir-519a-1	hsa-miR-519a	Homo sapiens
hsa-mir-519b	hsa-miR-519c-5p	Homo sapiens
hsa-mir-519dNo2	hsa-mir-519d	Homo sapiens
HPR246 right		
HPR194 right		
Hcd48 right		
Hcd768 left		
HPR126 left		
Hcd51 left		
Hcd437 left		
Hcd873 left		
Hcd439 left		
Hcd59_HPR148 right		
Hcd949 right		
Hcd585 right		
Hcd795 left		
Hcd194 left		
Hcd796 left		
Hcd282PO right		
HPR261 right		
Hcd799 right		
Hcd801 left		
Hcd936 left		
Hcd605 left		
Hcd289 right		
Hcd939 right		
Hcd330 right		
Hcd526 left		
HPR144 right		
Hcd373 right		
Hcd749 right		
Hcd855 right		
Hcd533 right		
Hcd718 right		
Hcd158 right		
Hcd379 right		
HPR76 right		
Hcd934 right		
Hcd167 left		
Hcd410 left		
Hcd850 left		
Hcd474 left		
Hcd95 left		
HPR227 right		
Hcd674 left		
Hcd111 right		
Hcd976 right		
Hcd829 right		
Hcd965 left		
Hcd351_HPR119 right		
Hcd124 right		
MPR254 right		
Mcd389 right		
Mcd382 right		
MPR217 right		
Mcd462 right		
MPR227 right		
Mcd660 right		
Mcd98 right		
Mcd100 right		
Mcd483 left		
MPR200 left		
Mcd485 left		
Mcd383 left		
MPR215 left		
Mcd379 right		
Mcd236 right		
MPR189 left		
MPR236 left		
Mcd56 right		
Mcd615 right		
MPR182 right		
MPR65 left		
Mcd553 right		
Mcd29_Mcd458 right		
Mcd368 left		
Mcd145 left		
Mcd523 left		
Mcd514 left		
MPR121 left		
MPR102 Mcd123 left		
MPR163 left		
Mcd340 left		
MPR253 left		
MPR114 left		
Mcd113 left		
Mcd115 left		
HUMTRF		
HUMTRS		
MUSTRMI No1		
hsa-let-7b-prec	hsa-let-7b	Homo sapiens
hsa-let-7d-v2-precNo1	hsa-let-7i	Homo sapiens
hsa-let-7f-1-precNo2	hsa-let-7f	Homo sapiens
hsa-mir-009-3No2	hsa-miR-9*	Homo sapiens
hsa-mir-010b-precNo2	hsa-miR-10b*	Homo sapiens
hsa-mir-015b-precNo2	hsa-miR-15b*	Homo sapiens
hsa-mir-024-1-precNo2	hsa-miR-24-1*	Homo sapiens
hsa-mir-026a-precNo2	hsa-mir-26a-1	Homo sapiens
hsa-mir-028-prec	hsa-mir-28	Homo sapiens
mmu-mir-125b-2No1	mmu-mir-125b-2	Mus musculus
mmu-mir-135a-1No1	mmu-miR-135a	Mus musculus
mmu-mir-140No1	mmu-miR-140	Mus musculus
mmu-mir-106bNo1	mmu-miR-106b	Mus musculus
mmu-mir-192No1	mmu-miR-192	Mus musculus
mmu-let-7a-2No1	mmu-let-7a	Mus musculus
mmu-mir-31No1	mmu-miR-31	Mus musculus
mmu-mir-98No1	mmu-mir-98	Mus musculus
mmu-mir-345No1	mmu-mir-345	Mus musculus
mmu-mir-224No1	mmu-miR-224	Mus musculus
mmu-mir-181cNo1	mmu-miR-181c	Mus musculus
mmu-mir-335No1	mmu-mir-335	Mus musculus
hsa-mir-106aNo1	hsa-miR-106a	Homo sapiens
hsa-mir-135a-1No1	hsa-miR-135a	Homo sapiens
hsa-mir-16-1No1	hsa-miR-16	Homo sapiens
hsa-mir-299No1	hsa-mir-299	Homo sapiens
hsa-mir-30c-2No1	hsa-miR-30c	Homo sapiens
hsa-mir-325No1	hsa-miR-325	Homo sapiens
hsa-mir-129-2No2	hsa-miR-129*	Homo sapiens
hsa-mir-15aNo2	hsa-miR-15a*	Homo sapiens
hsa-mir-181b-2No2	hsa-mir-181b-2	Homo sapiens
hsa-mir-30c-1No2	hsa-miR-30c-1*	Homo sapiens
hsa-miR-324-5pNo2	hsa-mir-324	Homo sapiens
hsa-mir-345No2	hsa-mir-345	Homo sapiens
hsa-mir-520a	hsa-mir-520a	Homo sapiens
hsa-mir-520c	hsa-mir-520c	Homo sapiens
hsa-mir-520eNo2	hsa-mir-520e	Homo sapiens
hsa-mir-524	hsa-mir-524	Homo sapiens
hsa-mir-526a-1No2	hsa-mir-526a-1	Homo sapiens
hsa-mir-526b*	hsa-miR-526b*	Homo sapiens
mmu-mir-370No2	mmu-mir-379	Mus musculus
mmu-mir-376aNo2	mmu-miR-376a*	Mus musculus
mmu-mir-377No2	mmu-mir-377	Mus musculus
mmu-mir-410No2	mmu-mir-410	Mus musculus
mmu-mir-412No2	mmu-mir-412	Mus musculus
mmu-mir-429No2	mmu-mir-429	Mus musculus
Hcd60 right		
Hcd728 left		
Hcd248 left		
Hcd449 left		
HPR176 left		
HPR209 right		
Hcd890 right		
Hcd891 right		
Hcd719 right		
Hcd231 right		
Hcd574 right		
Hcd746 right		
Hcd643 right		
Hcd292 right		
Hcd293 right		
Hcd294 right		
Hcd944 right		
Hcd945 left		
hsa_mir_320_Hcd306 right	hsa-miR-320a	Homo sapiens
Hcd650 right		
Hcd813 right		
Hcd312 left		
Hcd953 left		
Hcd819 left		
Hcd393 right		
Hcd809 right		
Hcd7 left		
Hcd837 right		
HPR187 right		
Hcd398 right		
HPR270 right		
Hcd849 right		
Hcd210_HPR205 right		
HPR253 right		
Hcd287 right		
Hcd280 left		
Hcd828 left		
Hcd830 left		
Hcd126_HPR217 right		
HPR151 right		
Hcd968 right		
HPR268 right		
Hcd115 right		
Hcd502 right		
Hcd503 left		
Mcd445 left		
Mcd586 left		
MPR176 left		
Mcd149 left		
Mcd697 left		
Mcd142 left		
Mcd636 right		
Mcd544 left		
MPR218 Mcd148 left		
Mcd260 left		
Mcd460 left		
MPR149 left		
Mcd539 left		
MPR214 right		
MPR232_Mcd644 left		
Mcd554 left		
Mcd181 left		
Mcd551 left		
Mcd232 left		
Mcd18_Mcd491 left		
Mcd402 left		
MPR61_Mcd209 right		
MPR124 right		
MPR199_Mcd212 left		
Mcd422 right		
Mcd292 left		
MPR194 left		
hsa-mir-187-precNo2	hsa-mir-187	Homo sapiens
hsa-mir-192-2/3No1	hsa-miR-192	Homo sapiens
hsa-mir-194-precNo1	hsa-miR-194	Homo sapiens
hsa-mir-203-precNo2	hsa-mir-203	Homo sapiens
hsa-mir-206-precNo1	hsa-miR-206	Homo sapiens
hsa-mir-211-precNo1	hsa-miR-211	Homo sapiens
hsa-mir-219-prec	hsa-mir-219-1	Homo sapiens
hsa-mir-222-precNo2	hsa-mir-222	Homo sapiens
mmu-let-7g-prec	mmu-let-7g	Mus musculus
mmu-mir-101-prec	mmu-miR-101a	Mus musculus
mmu-mir-123-precNo2	mmu-mir-126	Mus musculus
mmu-mir-125b-precNo2	mmu-miR-125b*	Mus musculus
mmu-mir-30aNo1	mmu-miR-30a	Mus musculus
mmu-mir-126No1	mmu-mir-126	Mus musculus
mmu-mir-9-2No1	mmu-miR-9	Mus musculus
mmu-mir-293No1	mmu-miR-293	Mus musculus
mmu-mir-301No1	mmu-miR-301a	Mus musculus
mmu-mir-19b-1No1	mmu-miR-19b	Mus musculus
mmu-mir-326No1	mmu-miR-326	Mus musculus
mmu-mir-331No1	mmu-mir-331	Mus musculus
mmu-mir-340No1	mmu-mir-340	Mus musculus
Mcd507 left		
Mcd354 left		
MPR210_Mcd126 left		
hsa-mir-20bNo2	hsa-miR-20b*	Homo sapiens
hsa-mir-181dNo2	hsa-mir-181d	Homo sapiens
hsa-mir-202	hsa-miR-202	Homo sapiens
hsa-mir-376aNo1	hsa-miR-376a	Homo sapiens
hsa-mir-377No1	hsa-miR-377	Homo sapiens
hsa-mir-379No1	hsa-miR-379	Homo sapiens
hsa-mir-422aNo1	hsa-miR-422a	Homo sapiens
hsa-mir-424No1	hsa-miR-424	Homo sapiens
hsa-mir-429No1	hsa-miR-429	Homo sapiens
hsa-mir-451No2	hsa-mir-451	Homo sapiens
hsa-mir-453No2	hsa-mir-453	Homo sapiens
hsa-mir-483No2	hsa-mir-483	Homo sapiens
Hcd417 left		
Hcd753 left		
Hcd561 left		
Hcd866 left		
Hcd55 left		
Hcd440_HPR257 left		
HPR134 left		
Hcd381 left		
Hcd969 left		
Hcd467 left		
Hcd784 left		
Hcd472 left		
Hcd271 left		
Hcd785 left		
Hcd87 left		
HPR260 right		
HPR188 right		
Hcd477 right		
Hcd925 left		
Hcd926 right		
Hcd617 right		
Hcd615 right		
Hcd432 right		
Hcd64 right		
Hcd652 right		
Hcd310 right		
Hcd659 right		
Hcd686 right		
Hcd727 left		
Hcd839 left		
Hcd361 left		
Hcd840 left		
Hcd693 right		
Hcd365 right		
Hcd741_HPR210 right		
Hcd699 right		
Hcd412 left		
Hcd25_HPR118 left		
Hcd781 left		
Hcd556_HNC18_2 left		
Hcd951 left		
Hcd952 right		
Hcd560 right		
Hcd421 left		
Hcd197PO left		
Hcd861 right		
Hcd756 right		
Hcd864 right		
Mcd54 right		
Mcd439 right		
MPR196 Mcd57 right		
Mcd699 left		
MPR206 left		
MPR151 left		
Mcd405 right		
Mcd452 right		
MPR12_Mcd262 right		
Mcd70 right		
Mcd166 right		
Mcd602 right		
Mcd224 right		
MPR226 right		
MPR74 right		
mmu-mir-140_Mcd135 right		
Mcd712 right		
Mcd377 right		
Mcd373 left		
Mcd266 left		
Mcd599 left		
MPR208 right		
Mcd16 right		
Mcd173 left		
MPR220 right		
Mcd255 left		
Mcd595 left		
Mcd239 left		
Mcd238 left		
Mcd237 left		
Mcd545 right		
MPR145 right		
Mcd624 right		
Mcd192 left		
MPR203 left		
MPR234 right		
MUSTRS		
ath-MIR157aNo1		
hsa-let-7a-1-prec	hsa-let-7a	Homo sapiens
hsa-mir-001b-1-prec1	hsa-miR-1	Homo sapiens
hsa-mir-007-2-precNo2	hsa-miR-7	Homo sapiens
hsa-mir-009-1No2	hsa-miR-9*	Homo sapiens
hsa-mir-017-precNo2	hsa-miR-17	Homo sapiens
hsa-mir-019b-2-prec	hsa-miR-19b	Homo sapiens
hsa-mir-022-prec	hsa-miR-22	Homo sapiens
hsa-mir-030a-precNo1	hsa-miR-30a	Homo sapiens
hsa-mir-030c-prec	hsa-miR-30c	Homo sapiens
hsa-mir-032-precNo1	hsa-miR-32*	Homo sapiens
mmu-mir-24-1No1	mmu-miR-24-1*	Mus musculus
mmu-mir-296No1	mmu-mir-296	Mus musculus
mmu-mir-34cNo1	mmu-miR-34c	Mus musculus
mmu-let-7eNo1	mmu-let-7e	Mus musculus
mmu-mir-16-1No1	mmu-miR-16	Mus musculus
mmu-mir-21No1	mmu-miR-21	Mus musculus
mmu-mir-10a-1No1	mmu-mir-10a	Mus musculus
mmu-mir-32No1	mmu-mir-32	Mus musculus
mmu-mir-219-2No1	mmu-miR-219	Mus musculus
Mcd502 right		
Mcd503 right		
Mcd678 right		
hsa-mir-192No1	hsa-miR-192	Homo sapiens
hsa-mir-196a-2No1	hsa-miR-196a	Homo sapiens
hsa-mir-219-2No1	hsa-mir-219-2	Homo sapiens
hsa-mir-346No1	hsa-miR-346	Homo sapiens
hsa-miR-373*No1	hsa-miR-373*	Homo sapiens
hsa-mir-105-2No2	hsa-miR-105*	Homo sapiens
hsa-mir-196a-1No2	hsa-mir-196a-1	Homo sapiens
hsa-mir-219-1No2	hsa-mir-219-1	Homo sapiens
hsa-mir-296No2	hsa-mir-296	Homo sapiens
hsa-mir-34cNo2	hsa-mir-34c	Homo sapiens
