Array Design Name	OSUCCC miRarray v3.0 [mature miRNAs only]
Provider	Jeff J Palatini(jeff.palatini@osumc.edu)
Comment[ArrayExpressAccession]	A-GEOD-13415
Comment[SecondaryAccession]	GPL13415
Comment[Description]	Array Manufacturer: Microarray Shared Resource, Comprehensive Cancer Center, The Ohio State University (OSU-CCC), Distribution: non-commercial, Technology: spotted oligonucleotide, Only mature human miRNAs are represented.<br>Reporter Database Entry [mirbase] = Registry name in Sanger's miRBase (http://microrna.sanger.ac.uk) LINK_PRE:http://microrna.sanger.ac.uk/cgi-bin/sequences/mirna_entry.pl?acc=<br>Comment[Class] = Whether or not the oligo sequence contains the mature miRNA sequence<br>Reporter Group [organism] = Organism
Comment[SubmittedName]	OSUCCC miRarray v3.0 [mature miRNAs only]
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-05-11
Printing Protocol	Manufactured using GE Healthcare's CodeLink (TM) 3-D Gel Matrix Technology. CodeLink(tm) Activated Slides are designed to covalently immoblize amine-modified DNA for microarrays. The slides are coated with a 3-D surface chemistry comprised of a long-chain, hydrophilic polymer containing amine-reactive groups. This polymer is covalently crosslinked to itself and to the surface of the slide. The crosslinked polymer, combined with end-point attachment, orients the immobilized DNA, and holds it away from the surface of the slide. The 1x printing buffer consists of 50 mM sodium phosphate at pH 8.5. Codelink slides are manufactured by SurModics and were formally sold as 3D-Link(tm) Activated Slides. Microarrays are printed with an Omnigrid robotic arrayer by Genomic Solutions that is fitted with a printhead and 16 SMP3 print tips from Telechem. The microRNA microarray probe set is based on 40mer oligonucleotides from Sigma-Genosys. Oligonucleotide probes are distributed into 384-well polypropylene plates (Genetix, 384 micro array) and dissolved in print buffer (150mM sodium phosphate, pH 8.5, 4% sodium sulfate, 0.0001% N-lauryl sarcosyl) to a normalized 25 micromolar concentration. The miRNA microarray spot densities are 200 microns (center-to-center). The microarrays are printed on Codelink Activated Slide (PN300011)) and treated by a method that is an adaptation of the manufacturer's instructions to allow higher throughput processing.
Surface Type
Substrate Type
Term Source Name	mirbase
Comment[AdditionalFile:txt]	A-GEOD-13415_comments.txt

[main]
Reporter Name	Reporter Database Entry [mirbase]	Reporter Group [organism]
hsa-miR-149	hsa-miR-149	Homo sapiens
hsa-miR-193a-3p	hsa-miR-193a-3p	Homo sapiens
hsa-miR-379*	hsa-miR-379*	Homo sapiens
hsa-miR-20b	hsa-miR-20b	Homo sapiens
hsa-miR-338-5p	hsa-miR-338-5p	Homo sapiens
hsa-miR-122	hsa-miR-122	Homo sapiens
hsa-miR-369-3p	hsa-miR-369-3p	Homo sapiens
hsa-miR-203	hsa-miR-203	Homo sapiens
hsa-miR-455-5p	hsa-miR-455-5p	Homo sapiens
hsa-miR-223	hsa-miR-223	Homo sapiens
hsa-miR-760	hsa-miR-760	Homo sapiens
hsa-miR-32*	hsa-miR-32*	Homo sapiens
hsa-miR-145	hsa-miR-145	Homo sapiens
hsa-miR-9*	hsa-miR-9*	Homo sapiens
hsa-miR-135a	hsa-miR-135a	Homo sapiens
hsa-miR-127-3p	hsa-miR-127-3p	Homo sapiens
hsa-miR-29c*	hsa-miR-29c*	Homo sapiens
hsa-miR-193b*	hsa-miR-193b*	Homo sapiens
hsa-miR-130a	hsa-miR-130a	Homo sapiens
hsa-miR-192*	hsa-miR-192*	Homo sapiens
hsa-miR-193a-5p	hsa-miR-193a-5p	Homo sapiens
hsa-miR-346	hsa-miR-346	Homo sapiens
hsa-miR-148b	hsa-miR-148b	Homo sapiens
hsa-miR-424	hsa-miR-424	Homo sapiens
hsa-miR-139-5p	hsa-miR-139-5p	Homo sapiens
hsa-miR-19a	hsa-miR-19a	Homo sapiens
hsa-miR-30b*	hsa-miR-30b*	Homo sapiens
hsa-miR-194	hsa-miR-194	Homo sapiens
hsa-miR-324-5p	hsa-miR-324-5p	Homo sapiens
hsa-miR-17*	hsa-miR-17*	Homo sapiens
hsa-miR-519b-3p	hsa-miR-519b-3p	Homo sapiens
hsa-miR-34c-3p	hsa-miR-34c-3p	Homo sapiens
hsa-miR-331-3p	hsa-miR-331-3p	Homo sapiens
hsa-miR-520g	hsa-miR-520g	Homo sapiens
hsa-miR-199b-5p	hsa-miR-199b-5p	Homo sapiens
hsa-miR-518f	hsa-miR-518f	Homo sapiens
hsa-miR-133b	hsa-miR-133b	Homo sapiens
hsa-miR-197	hsa-miR-197	Homo sapiens
hsa-miR-31*	hsa-miR-31*	Homo sapiens
hsa-miR-191	hsa-miR-191	Homo sapiens
hsa-miR-205	hsa-miR-205	Homo sapiens
hsa-miR-516b	hsa-miR-516b	Homo sapiens
hsa-miR-9	hsa-miR-9	Homo sapiens
hsa-miR-22*	hsa-miR-22*	Homo sapiens
hsa-miR-10a	hsa-miR-10a	Homo sapiens
hsa-miR-342-5p	hsa-miR-342-5p	Homo sapiens
hsa-miR-100	hsa-miR-100	Homo sapiens
hsa-miR-340	hsa-miR-340	Homo sapiens
hsa-miR-487a	hsa-miR-487a	Homo sapiens
hsa-miR-337-3p	hsa-miR-337-3p	Homo sapiens
hsa-miR-130b	hsa-miR-130b	Homo sapiens
hsa-miR-455-3p	hsa-miR-455-3p	Homo sapiens
hsa-miR-30a*	hsa-miR-30a*	Homo sapiens
hsa-miR-150	hsa-miR-150	Homo sapiens
hsa-miR-124	hsa-miR-124	Homo sapiens
hsa-miR-202*	hsa-miR-202*	Homo sapiens
hsa-miR-219-5p	hsa-miR-219-5p	Homo sapiens
hsa-miR-125a-3p	hsa-miR-125a-3p	Homo sapiens
hsa-miR-320	hsa-miR-320	Homo sapiens
hsa-miR-32	hsa-miR-32	Homo sapiens
hsa-let-7b*	hsa-let-7b*	Homo sapiens
hsa-miR-382	hsa-miR-382	Homo sapiens
hsa-miR-494	hsa-miR-494	Homo sapiens
hsa-miR-125b	hsa-miR-125b	Homo sapiens
hsa-miR-302b	hsa-miR-302b	Homo sapiens
hsa-miR-33b	hsa-miR-33b	Homo sapiens
hsa-miR-122*	hsa-miR-122*	Homo sapiens
hsa-miR-28-5p	hsa-miR-28-5p	Homo sapiens
hsa-miR-497	hsa-miR-497	Homo sapiens
hsa-miR-483-5p	hsa-miR-483-5p	Homo sapiens
hsa-miR-206	hsa-miR-206	Homo sapiens
hsa-miR-361-3p	hsa-miR-361-3p	Homo sapiens
hsa-miR-519d	hsa-miR-519d	Homo sapiens
hsa-miR-200b*	hsa-miR-200b*	Homo sapiens
hsa-miR-187	hsa-miR-187	Homo sapiens
hsa-miR-328	hsa-miR-328	Homo sapiens
hsa-miR-519a	hsa-miR-519a	Homo sapiens
hsa-miR-99b*	hsa-miR-99b*	Homo sapiens
hsa-miR-371-5p	hsa-miR-371-5p	Homo sapiens
hsa-miR-509-3p	hsa-miR-509-3p	Homo sapiens
hsa-miR-183	hsa-miR-183	Homo sapiens
hsa-miR-525-5p	hsa-miR-525-5p	Homo sapiens
hsa-miR-192	hsa-miR-192	Homo sapiens
hsa-miR-186	hsa-miR-186	Homo sapiens
hsa-miR-29a*	hsa-miR-29a*	Homo sapiens
hsa-miR-424*	hsa-miR-424*	Homo sapiens
hsa-miR-34a*	hsa-miR-34a*	Homo sapiens
hsa-miR-362-3p	hsa-miR-362-3p	Homo sapiens
hsa-miR-105	hsa-miR-105	Homo sapiens
hsa-miR-125b-1*	hsa-miR-125b-1*	Homo sapiens
hsa-miR-484	hsa-miR-484	Homo sapiens
hsa-miR-141	hsa-miR-141	Homo sapiens
hsa-miR-496	hsa-miR-496	Homo sapiens
hsa-miR-221	hsa-miR-221	Homo sapiens
hsa-miR-126	hsa-miR-126	Homo sapiens
hsa-miR-10b	hsa-miR-10b	Homo sapiens
hsa-miR-498	hsa-miR-498	Homo sapiens
hsa-miR-493*	hsa-miR-493*	Homo sapiens
hsa-miR-543	hsa-miR-543	Homo sapiens
hsa-miR-15b	hsa-miR-15b	Homo sapiens
hsa-miR-19a*	hsa-miR-19a*	Homo sapiens
hsa-miR-202	hsa-miR-202	Homo sapiens
hsa-miR-302b*	hsa-miR-302b*	Homo sapiens
hsa-miR-188-5p	hsa-miR-188-5p	Homo sapiens
hsa-miR-485-5p	hsa-miR-485-5p	Homo sapiens
hsa-miR-7	hsa-miR-7	Homo sapiens
hsa-let-7f	hsa-let-7f	Homo sapiens
hsa-miR-92a-1*	hsa-miR-92a-1*	Homo sapiens
hsa-miR-143	hsa-miR-143	Homo sapiens
hsa-miR-196b	hsa-miR-196b	Homo sapiens
hsa-miR-215	hsa-miR-215	Homo sapiens
hsa-miR-423-5p	hsa-miR-423-5p	Homo sapiens
hsa-miR-485-3p	hsa-miR-485-3p	Homo sapiens
hsa-miR-16	hsa-miR-16	Homo sapiens
hsa-miR-210	hsa-miR-210	Homo sapiens
hsa-miR-422a	hsa-miR-422a	Homo sapiens
hsa-miR-33a	hsa-miR-33a	Homo sapiens
hsa-miR-7-1*	hsa-miR-7-1*	Homo sapiens
hsa-miR-409-3p	hsa-miR-409-3p	Homo sapiens
hsa-miR-21	hsa-miR-21	Homo sapiens
hsa-miR-26b	hsa-miR-26b	Homo sapiens
hsa-miR-429	hsa-miR-429	Homo sapiens
hsa-miR-520h	hsa-miR-520h	Homo sapiens
hsa-miR-29c	hsa-miR-29c	Homo sapiens
hsa-miR-521	hsa-miR-521	Homo sapiens
hsa-miR-224	hsa-miR-224	Homo sapiens
hsa-miR-1	hsa-miR-1	Homo sapiens
hsa-miR-103	hsa-miR-103	Homo sapiens
hsa-miR-30c	hsa-miR-30c	Homo sapiens
hsa-miR-7-2*	hsa-miR-7-2*	Homo sapiens
hsa-miR-323-5p	hsa-miR-323-5p	Homo sapiens
hsa-miR-502-3p	hsa-miR-502-3p	Homo sapiens
hsa-miR-125a-5p	hsa-miR-125a-5p	Homo sapiens
hsa-miR-370	hsa-miR-370	Homo sapiens
hsa-miR-26a-2*	hsa-miR-26a-2*	Homo sapiens
hsa-miR-107	hsa-miR-107	Homo sapiens
hsa-let-7e*	hsa-let-7e*	Homo sapiens
hsa-miR-193b	hsa-miR-193b	Homo sapiens
hsa-miR-330-5p	hsa-miR-330-5p	Homo sapiens
hsa-miR-101*	hsa-miR-101*	Homo sapiens
hsa-miR-146a	hsa-miR-146a	Homo sapiens
hsa-miR-136	hsa-miR-136	Homo sapiens
hsa-miR-30d	hsa-miR-30d	Homo sapiens
hsa-miR-15a	hsa-miR-15a	Homo sapiens
hsa-miR-30e	hsa-miR-30e	Homo sapiens
hsa-miR-520e	hsa-miR-520e	Homo sapiens
hsa-miR-345	hsa-miR-345	Homo sapiens
hsa-miR-671-5p	hsa-miR-671-5p	Homo sapiens
hsa-miR-134	hsa-miR-134	Homo sapiens
hsa-miR-378	hsa-miR-378	Homo sapiens
hsa-miR-212	hsa-miR-212	Homo sapiens
hsa-miR-515-3p	hsa-miR-515-3p	Homo sapiens
hsa-miR-375	hsa-miR-375	Homo sapiens
hsa-miR-302d	hsa-miR-302d	Homo sapiens
hsa-miR-27a	hsa-miR-27a	Homo sapiens
hsa-let-7g	hsa-let-7g	Homo sapiens
hsa-let-7e	hsa-let-7e	Homo sapiens
hsa-miR-425	hsa-miR-425	Homo sapiens
hsa-miR-29a	hsa-miR-29a	Homo sapiens
hsa-miR-138	hsa-miR-138	Homo sapiens
hsa-miR-147	hsa-miR-147	Homo sapiens
hsa-miR-29b-2*	hsa-miR-29b-2*	Homo sapiens
hsa-miR-516b*	hsa-miR-516b*	Homo sapiens
hsa-miR-99a	hsa-miR-99a	Homo sapiens
hsa-miR-19b-1*	hsa-miR-19b-1*	Homo sapiens
hsa-miR-133a	hsa-miR-133a	Homo sapiens
hsa-miR-126*	hsa-miR-126*	Homo sapiens
hsa-miR-374a	hsa-miR-374a	Homo sapiens
hsa-miR-138-1*	hsa-miR-138-1*	Homo sapiens
hsa-miR-181c*	hsa-miR-181c*	Homo sapiens
hsa-miR-25*	hsa-miR-25*	Homo sapiens
hsa-miR-373*	hsa-miR-373*	Homo sapiens
hsa-miR-377	hsa-miR-377	Homo sapiens
hsa-let-7d	hsa-let-7d	Homo sapiens
hsa-miR-190	hsa-miR-190	Homo sapiens
hsa-miR-363*	hsa-miR-363*	Homo sapiens
hsa-miR-410	hsa-miR-410	Homo sapiens
hsa-miR-146b-5p	hsa-miR-146b-5p	Homo sapiens
hsa-miR-95	hsa-miR-95	Homo sapiens
hsa-miR-376a	hsa-miR-376a	Homo sapiens
hsa-miR-24-1*	hsa-miR-24-1*	Homo sapiens
hsa-miR-450a	hsa-miR-450a	Homo sapiens
hsa-miR-323-3p	hsa-miR-323-3p	Homo sapiens
hsa-miR-19b	hsa-miR-19b	Homo sapiens
hsa-miR-106b*	hsa-miR-106b*	Homo sapiens
hsa-miR-190b	hsa-miR-190b	Homo sapiens
hsa-miR-517c	hsa-miR-517c	Homo sapiens
hsa-miR-708	hsa-miR-708	Homo sapiens
hsa-let-7c	hsa-let-7c	Homo sapiens
hsa-miR-185*	hsa-miR-185*	Homo sapiens
hsa-miR-16-2*	hsa-miR-16-2*	Homo sapiens
hsa-miR-139-3p	hsa-miR-139-3p	Homo sapiens
hsa-miR-105*	hsa-miR-105*	Homo sapiens
hsa-miR-26a-1*	hsa-miR-26a-1*	Homo sapiens
hsa-miR-486-5p	hsa-miR-486-5p	Homo sapiens
hsa-miR-29b	hsa-miR-29b	Homo sapiens
hsa-miR-147b	hsa-miR-147b	Homo sapiens
hsa-miR-423-3p	hsa-miR-423-3p	Homo sapiens
hsa-miR-142-5p	hsa-miR-142-5p	Homo sapiens
hsa-miR-185	hsa-miR-185	Homo sapiens
hsa-miR-876-5p	hsa-miR-876-5p	Homo sapiens
hsa-miR-220	hsa-miR-220	Homo sapiens
hsa-miR-129-5p	hsa-miR-129-5p	Homo sapiens
hsa-miR-483-3p	hsa-miR-483-3p	Homo sapiens
hsa-let-7d*	hsa-let-7d*	Homo sapiens
hsa-miR-495	hsa-miR-495	Homo sapiens
hsa-miR-222	hsa-miR-222	Homo sapiens
hsa-miR-10b*	hsa-miR-10b*	Homo sapiens
hsa-miR-196a	hsa-miR-196a	Homo sapiens
hsa-miR-195	hsa-miR-195	Homo sapiens
hsa-miR-491-3p	hsa-miR-491-3p	Homo sapiens
hsa-miR-338-3p	hsa-miR-338-3p	Homo sapiens
hsa-miR-26b*	hsa-miR-26b*	Homo sapiens
hsa-miR-30b	hsa-miR-30b	Homo sapiens
hsa-miR-502-5p	hsa-miR-502-5p	Homo sapiens
hsa-let-7a	hsa-let-7a	Homo sapiens
hsa-miR-129-3p	hsa-miR-129-3p	Homo sapiens
hsa-miR-218	hsa-miR-218	Homo sapiens
